msft,msft_exponential_moving_average_5,msft_age,msft_exponential_moving_average_10,msft_ocfq_saleq_std,msft_mvel1,msft_zero_trades_6m,msft_exponential_moving_average_21,usepuindxd_ewmahl21,msft_ami_126d,msft_vxn_logdiff_ewmahl63,msft_qmj,houst,t10y2y_ewmahl10,state_0,state_1,state_2,state_3
33.58000183105469,33.58000183105469,346,33.58000183105469,0.1199626657625559,26.35705471717589,0.00246259,33.58000183105469,112.8160011778669,6.47e-06,-0.006384046,0.4395374716796779,925,2.372985518,1,0,0,0
33.91999816894531,33.76176454015329,346,33.75588932980882,0.1199626657625559,26.37081801224063,0.00246259,33.75280531082654,115.8100257148215,6.47e-06,-0.005812022,0.4395374716796779,1100,2.369437236039631,1,0,0,0
33.86000061035156,33.79913926985989,346,33.7930244,0.1199626657625559,26.36728261,0.00246259,33.78972274826194,116.6804978976814,6.47e-06,-0.004760411,0.4395374716796779,1100,2.364117561981473,1,0,0,0
33.88000106811523,33.82373105655843,346,33.81707877557756,0.1199626657625559,26.36810889421082,0.00246259,33.81342174425505,118.9727381680425,6.47e-06,-0.005310562,0.4395374716796779,1100,2.361832810919516,1,0,0,0
33.29999923706055,33.68813747852263,346,33.69885388128915,0.1199626657625559,26.35084136697585,0.00246259,33.70384929076336,122.8020398,6.47e-06,-0.003766108,0.4395374716796779,1100,2.356352712378102,1,0,0,0
33.00999832,33.53269053415067,346,33.56327377145278,0.1199626657625559,26.34209448791842,0.00246259,33.57845952881701,125.2588438840942,6.47e-06,-0.002559364,0.4395374716796779,1100,2.349900259472826,1,0,0,0
33.06999969482422,33.43625215242429,346,33.47734582909896,0.1199626657625559,26.34391051066607,0.00246259,33.49843612313198,126.5391033939244,6.47e-06,-0.002726445,0.4395374716796779,1100,2.347228258459026,1,0,0,0
33.75999832,33.49879105622426,346,33.52181512377046,0.1199626657625559,26.36456061291068,0.00246259,33.53503058604602,129.1891887,6.47e-06,-0.004461844,0.4395374716796779,1100,2.348083544,1,0,0,0
34.13000106811523,33.61341909724452,346,33.60957041116704,0.1199626657625559,26.37546078711465,0.00246259,33.61019563956706,131.4071192911461,6.47e-06,-0.005187024,0.4395374716796779,1100,2.348211883122601,1,0,0,0
34.45000076293945,33.75781246441918,346,33.72213262412677,0.1199626657625559,26.38479301,0.00246259,33.70718744,142.6269386412514,6.47e-06,-0.004953474,0.4395374716796779,1100,2.348211883122601,1,0,0,0
34.49000168,33.87896027,346,33.81852153409818,0.1199626657625559,26.38595346851461,0.00246259,33.79066633559376,148.1044270011448,6.47e-06,-0.004113911,0.4395374716796779,1100,2.350482512661803,1,0,0,0
34.63999938964844,34.00050472117637,346,33.91593521676025,0.1199626657625559,26.39029305897493,0.00246259,33.87498476344044,153.1134804736251,6.47e-06,-0.005545836,0.4395374716796779,1100,2.350450200232296,1,0,0,0
34.91999816894531,34.14304261,346,34.02915639609208,0.1199626657625559,26.39834367143624,0.00246259,33.97223264360399,158.6504979593721,6.47e-06,-0.006840024,0.4395374716796779,1100,2.345732361077106,1,0,0,0
34.95999908447266,34.26652811908318,346,34.12952457365244,0.1199626657625559,26.39948851750002,0.00246259,34.05890182819365,159.9680422190174,6.47e-06,-0.007386612,0.4395374716796779,1100,2.340660791411918,1,0,0,0
34.99000168,34.3735604,346,34.21866353,0.1199626657625559,26.40034634725004,0.00246259,34.13631971,154.6651694212685,6.47e-06,-0.006752531,0.4395374716796779,1100,2.337937859849316,1,0,0,0
34.58000183105469,34.40354726085736,346,34.25477293920527,0.1199626657625559,26.38279688495537,0.00246259,34.17143103326099,152.9493807565563,6.47e-06,-0.006261186,0.4395374716796779,1100,2.330709584275288,1,0,0,0
33.75999832,34.31152249697374,346,34.20690684439164,0.1199626657625559,26.35879797,0.00246259,34.14032353441726,153.5919469653017,6.47e-06,-0.005925344,0.4395374716796779,1100,2.321956354438905,1,0,0,0
33.72000122070312,34.22806796910513,346,34.16116406852018,0.1199626657625559,26.35761252108378,0.00246259,34.10985817391236,151.3947592035128,6.47e-06,-0.006469575,0.4395374716796779,1100,2.313789302219055,1,0,0,0
35.72999954223633,34.43753022447587,346,34.30467785353861,0.1199626657625559,26.41551201097253,0.00246259,34.22276966233327,150.5682884440722,6.47e-06,-0.006093683,0.4395374716796779,1100,2.306838843138962,1,0,0,0
35.56999969482422,34.59390093,346,34.41765761147732,0.1199626657625559,26.41102392912974,0.00246259,34.31329170763522,146.0889752881577,6.47e-06,-0.005983062,0.4395374716796779,1100,2.301023505595541,1,0,0,0
35.52000045776367,34.72068207848962,346,34.51393592488974,0.1199626657625559,26.40961728276042,0.00246259,34.39165108154788,146.8231150463036,6.47e-06,-0.006020407,0.4395374716796779,1100,2.295597603810607,1,0,0,0
35.54000091552734,34.83201589380917,346,34.60176287886563,0.1199626657625559,26.41018020023595,0.00246259,34.46387582603133,147.8568020780896,6.47e-06,-0.006035995,0.4395374716796779,1100,2.290535058436425,1,0,0,0
35.40999984741211,34.91005343975224,346,34.66967943769362,0.1199626657625559,26.40651561,0.00246259,34.52162463,145.2558766864754,6.47e-06,-0.005851656,0.4395374716796779,1100,2.288490216919689,1,0,0,0
35.52999877929688,34.99329305,347,34.74075962809078,0.1199626657625559,26.40989872742493,0.00245714,34.58146347405212,142.0147080131722,6.65e-06,-0.005876226,0.4122177909211461,1100,2.290600332829902,1,0,0,0
35.93999862670898,35.11979679779245,347,34.83831450501302,0.1199626657625559,26.42137219489372,0.00245714,34.65997173261941,141.5776106119849,6.65e-06,-0.006104936,0.4122177909211461,1043,2.291899470505465,1,0,0,0
