amzn,amzn_exponential_moving_average_5,amzn_exponential_moving_average_10,amzn_exponential_moving_average_21,amzn_sortino_ratio_5,amzn_sortino_ratio_10,amzn_sortino_ratio_21,amzn_mom1m,amzn_mom6m,amzn_mvel1,amzn_rvol_21d,amzn_ami_126d,amzn_age,amzn_maxret,amzn_zero_trades_1m,amzn_zero_trades_6m,amzn_zero_trades_12m,amzn_ocfq_saleq_std,amzn_turnover_126d,amzn_prc_highprc_252d,amzn_resff3_6_1,amzn_at_turnover,t_30,amzn_vxn_logdiff_ewmahl63,t10y2y_ewmahl10,dgs2_logdiff_ewmahl21,m2_realgrowth,usepuindxd_ewmahl21,umcsent,houst,amzn_gp_at,amzn_niq_at,amzn_qmj,amzn_opex_at,state_0,state_1,state_2,state_3,state_4
19.61499977111816,19.61499977111816,19.61499977111816,19.61499977111816,0.004183642,0.003977009,0.003800928,0.018194875,0.1376147694170708,22.91623466,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.004580551,2.399593891109588,-0.005477429,2.084374028183269,106.8484313825981,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.23299980163574,19.41078183818547,19.41738288037967,19.42084790345734,-0.095528886,-0.090810651,-0.086790049,0.018194875,0.1376147694170708,22.89900728543794,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.004442128,2.406987458,-0.007539662,2.084374028183269,106.7325707621456,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.29800033569336,19.36787317782234,19.37480075562705,19.37853991591392,0.016577903,0.015759109,0.015061381,0.018194875,0.1376147694170708,22.90180026832416,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.004284138,2.415894909968014,-0.005054787,2.084374028183269,106.4584555048126,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.22450065612793,19.32427055522411,19.33323357682578,19.33810301139042,-0.021405672,-0.021405672,-0.021405672,0.018194875,0.1376147694170708,22.90074630940575,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.003514311,2.426884536921039,-0.004890667,2.084374028183269,105.3204944890868,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.34749984741211,19.33028459280165,19.33649541220375,19.34010844427177,0.031383898,0.029833826,0.028512946,0.018194875,0.1376147694170708,22.90712397,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.00436698,2.437138221432894,-0.004731876,2.084374028183269,103.8389534879508,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.24449920654297,19.31062037487788,19.31838877795892,19.32283035417703,-0.039894229,-0.039094064,-0.038696319,0.018194875,0.1376147694170708,22.90178603241847,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.004356101,2.445365907,-0.004578241,2.084374028183269,100.9087137902307,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.38899993896484,19.32695698169717,19.33068918469005,19.33324438331656,0.036831815,0.035012668,0.033462497,0.018194875,0.1376147694170708,22.90926665982576,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.004308436,2.449694259037682,-0.004429593,2.084374028183269,100.8295330907727,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.10950088500977,19.28495041232561,19.29588995970653,19.30194103290472,-0.125258965,-0.122805426,-0.121478117,0.018194875,0.1376147694170708,22.89474640793539,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.00349061,2.456411434441613,-0.003221145,2.084374028183269,100.8584449675986,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.0625,19.24455331071336,19.26221406966012,19.27169146826947,-0.021317744,-0.020956643,-0.020752733,0.018194875,0.1376147694170708,22.89228382239245,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.003370041,2.462678780703419,-0.000117364,2.084374028183269,101.1835023537109,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
19.21199989318848,19.23893461529818,19.25548868329863,19.26479749620677,0.03846987,0.036569818,0.034950705,0.018194875,0.1376147694170708,22.90009584626777,0.01135666,1.279e-05,228,0.021436897,0.00244596,0.00230678,0.00224568,0.1560293741939822,0.00615387,0.98615197,0.3591934776847967,2.639865732056471,2.3e-05,-0.003346852,2.467856751450438,-0.000113553,2.084374028183269,102.0528876096451,84.1,1043,0.6770414880329474,-0.000246679,0.6507833751643884,2.139958815785032,0,0,0,1,0
