nflx,nflx_qmj_growth,nflx_exponential_moving_average_5,nflx_mom6m,nflx_exponential_moving_average_21,nflx_qmj,nflx_mvel1,state_0,state_1,state_2,state_3,state_4
59.01714324951172,-1.661170955,59.01714324951172,0.1302272427968877,59.01714324951172,-0.992805395,21.97523931521339,0,0,1,0,0
59.15428543,-1.661170955,59.09045972867432,0.1302272427968877,59.08684590076921,-0.992805395,21.98343261283002,0,0,1,0,0
60.33000183105469,-1.661170955,59.56205382789778,0.1302272427968877,59.51498156979685,-0.992805395,22.00646279172975,0,0,1,0,0
60.49428558349609,-1.661170955,59.84556526323454,0.1302272427968877,59.77205903794655,-0.992805395,22.01140352726325,0,0,1,0,0
63.04999923706055,-1.661170955,60.67518960896761,0.1302272427968877,60.47162312986489,-0.992805395,22.05291613,0,0,1,0,0
62.78571319580078,-1.661170955,61.15897592217009,0.1302272427968877,60.88981553047802,-0.992805395,22.05109818858641,0,0,1,0,0
64.93856811523438,-1.661170955,61.94675411811495,0.1302272427968877,61.52702411402343,-0.992805395,22.08738846,0,0,1,0,0
67.81143188476562,-1.661170955,63.07964943445455,0.1302272427968877,62.40625868426655,-0.992805395,22.13349532108997,0,0,1,0,0
68.38714599609375,-1.661170955,64.04349335663801,0.1302272427968877,63.16184863107082,-0.992805395,22.14330574753826,0,0,1,0,0
67.92285919189453,-1.661170955,64.71306898616096,0.1302272427968877,63.71171305920834,-0.992805395,22.13852456324568,0,0,1,0,0
80.29285430908203,-1.661170955,67.29089550141363,0.1302272427968877,65.47991726459668,-0.992805395,22.30586554654653,0,0,1,0,0
81.65000153,-1.661170955,69.58416747880828,0.1302272427968877,67.08521930312045,-0.992805395,22.32262675509155,0,0,1,0,0
81.05571746826172,-1.661170955,71.36246244800647,0.1302272427968877,68.38529959,-0.992805395,22.31532170516389,0,0,1,0,0
80.06285858154297,-1.661170955,72.67755430872852,0.1302272427968877,69.40991884898996,-0.992805395,22.30299698,0,0,1,0,0
79.66857147216797,-1.661170955,73.71182086163635,0.1302272427968877,70.26289203401159,-0.992805395,22.29806008965708,0,0,1,0,0
79.86571502685547,-1.661170955,74.60571107,0.1302272427968877,71.02282299457545,-0.992805395,22.30053157913266,0,0,1,0,0
79.77143096923828,-1.661170955,75.34438706924442,0.1302272427968877,71.68428550034754,-0.992805395,22.29935034943838,0,0,1,0,0
80.86856842041016,-1.661170955,76.12376385,0.1302272427968877,72.34997104929258,-0.992805395,22.31301014170499,0,0,1,0,0
80.43714141845703,-1.661170955,76.72531574928963,0.1302272427968877,72.91358510257761,-0.992805395,22.30766094444324,0,0,1,0,0
80.40714263916016,-1.661170955,77.23370019402023,0.1302272427968877,73.41708646347375,-0.992805395,22.30728792802154,0,0,1,0,0
79.5,-1.661170955,77.54395204767933,0.1302272427968877,73.81208923132166,-0.992805395,22.29594193864731,0,0,1,0,0
79.57571411132812,-1.659140342,77.82003970994448,0.1302272427968877,74.17458881284237,-0.981243491,22.29689386418125,0,0,1,0,0
79.27143096923828,-1.659140342,78.01600191853603,0.1302272427968877,74.48568602080651,-0.981243491,22.29306271551166,0,0,1,0,0
80.79285430908203,-1.659140342,78.38884788208307,0.1302272427968877,74.85996540560754,-0.981243491,22.31207344183453,0,0,1,0,0
80.07714080810547,-1.659140342,78.61444640416279,0.1302272427968877,75.16146026,-0.981243491,22.30317535,0,0,1,0,0
80.74857330322266,-1.659140342,78.89843372028888,0.1302272427968877,75.47635992705551,-0.981243491,22.31152521086216,0,0,1,0,0
82.08571625,-1.659140342,79.32103412356409,0.1302272427968877,75.84018204535238,-0.981243491,22.32794893837685,0,0,1,0,0
84.27857208251953,-1.659140342,79.97629432,0.1302272427968877,76.29442997056522,-0.981243491,22.35431256323701,0,0,1,0,0
83.37714385986328,-1.659140342,80.42457836663185,0.1302272427968877,76.66772566494045,-0.981243491,22.34355913435386,0,0,1,0,0
82.87285614013672,-1.659140342,80.74653715,0.1302272427968877,76.98828110311828,-0.981243491,22.33749249656282,0,0,1,0,0
83.83571625,-1.659140342,81.15194413390724,0.1302272427968877,77.33535692203327,-0.981243491,22.34904404,0,0,1,0,0
87.60713958740234,-1.659140342,81.99757917,0.1302272427968877,77.84668678451489,-0.981243491,22.39304741374755,0,0,1,0,0
88.26714324951172,-1.659140342,82.81762426798589,0.1302272427968877,78.35659027412514,-0.981243491,22.40055285171967,0,0,1,0,0
88.06857299804688,-1.659140342,83.50351192026798,0.1302272427968877,78.82412818967543,-0.981243491,22.39830066663063,0,0,1,0,0
88.79000091552734,-1.659140342,84.19323339184221,0.1302272427968877,79.29648561989218,-0.981243491,22.40645895834242,0,0,1,0,0
89.00285339355469,-1.659140342,84.82009941816992,0.1302272427968877,79.74977586934672,-0.981243491,22.40885334680697,0,0,1,0,0
88.83856964111328,-1.659140342,85.34338638558792,0.1302272427968877,80.16826920167439,-0.981243491,22.40700581549095,0,0,1,0,0
87.99285888671875,-1.659140342,85.68813606,0.1302272427968877,80.52372632570437,-0.981243491,22.39744057915792,0,0,1,0,0
89.85713958740234,-1.659140342,86.23024371216688,0.1302272427968877,80.94230187262094,-0.981243491,22.41840598824394,0,0,1,0,0
89.50714111328125,-1.659140342,86.65609973496659,0.1302272427968877,81.32171254436935,-0.981243491,22.41450332806007,0,0,1,0,0
89.15142822265625,-1.659140342,86.98022080435294,0.1302272427968877,81.66450289609953,-0.981243491,22.41052128161268,0,0,1,0,0
89.00285339355469,-1.660870659,87.24282687,0.1302272427968877,81.98218714839378,-0.989673441,22.40885334680697,0,0,1,0,0
