tsla,tsla_exponential_moving_average_5,tsla_sortino_ratio_5,tsla_exponential_moving_average_10,tsla_exponential_moving_average_21,state_0,state_1,state_2,state_3,state_4
16.97866630554199,16.97866630554199,0.007616978,16.97866630554199,16.97866630554199,0,0,0,0,1
19.97866630554199,18.58247218968428,0.3949100187939277,18.53063154003855,18.50341931474151,0,0,0,0,1
21.87533378601074,19.83526876303585,0.2121079360784074,19.72364119377491,19.66468703899981,0,0,0,0,1
21.84733390808105,20.44718041894883,-0.00301841,20.31097224058518,20.23765449662182,0,0,0,0,1
21.08133316040039,20.61136184927908,-0.090954727,20.48710730593757,20.41770881806938,0,0,0,0,1
21.00066757202148,20.70060073838184,-0.012850243,20.58818590840674,20.52305862,0,0,0,0,1
20.99466705322266,20.76189280883816,-0.001346838,20.65899459273572,20.59728220410092,0,0,0,0,1
20.88733291625977,20.78612440617965,-0.023187984,20.69491872029652,20.63786241826859,0,0,0,0,1
21.16466713,20.85486794636622,0.029553304,20.76269882445465,20.70441581126782,0,0,0,0,1
21.14800071716309,20.90546244244502,-0.004235644,20.81430385467443,20.75564685927632,0,0,0,0,1
21.77199935913086,21.04883937569401,0.065838945,20.93452126054243,20.86403015674165,0,0,0,0,1
22.36933326721191,21.25973354,0.06120975,21.10466622617123,21.01347069847217,0,0,0,0,1
22.47599983215332,21.44827651910787,0.01052758,21.25930195671859,21.14957216585881,0,0,0,0,1
23.00600051879883,21.68373133309601,0.052590042,21.44763985055571,21.31245999535112,0,0,0,0,1
23.32866668701172,21.92708671,0.031225038,21.64250008842137,21.48010094261958,0,0,0,0,1
23.07399940490723,22.09368269055728,-0.061589128,21.78555326470558,21.60623602,0,0,0,0,1
23.29000091552734,22.26475111357131,0.020796677,21.93109839035328,21.73354168089871,0,0,0,0,1
23.47800064086914,22.43592190750424,0.017914311,22.07642347903139,21.85998172314123,0,0,0,0,1
23.33266639709473,22.56098361247215,-0.039351409,22.19134195142341,21.96261660535695,0,0,0,0,1
23.96800041,22.75526364674428,0.06074804,22.34997862097646,22.09736081340876,0,0,0,0,1
23.48133277893066,22.85466104048323,-0.122106704,22.44879077417083,22.18723102999534,0,0,0,0,1
23.65533256530762,22.96346095041661,0.016434168,22.55206580190012,22.27956635772055,0,0,0,0,1
22.20266723632812,22.86074101494732,-0.164324921,22.52270566476638,22.27487264713938,0,0,0,0,1
22.42266654968262,22.80192107310847,0.022020692,22.51444036256585,22.28364302,0,0,0,0,1
21.92799949645996,22.68514310580988,-0.064889943,22.46673497057888,22.26309076928994,0,0,0,0,1
22.08600044250488,22.60541545840355,0.015976502,22.43620230678919,22.25310964221675,0,0,0,0,1
21.99600028991699,22.52461336641421,-0.012703003,22.40136154316289,22.23895666503538,0,0,0,0,1
22.32466697692871,22.49818554837804,0.033252568,22.39536442794922,22.24357054649563,0,0,0,0,1
22.41333389282227,22.48700080090955,0.008723818,22.39675394522292,22.25251795383651,0,0,0,0,1
22.20199966430664,22.44952195738628,-0.031464987,22.38184867484764,22.24990819204327,0,0,0,0,1
22.02466773986816,22.39376641165759,-0.0286279,22.35477132903067,22.23849143,0,0,0,0,1
22.39266777038574,22.39362248889731,0.037202126,22.35761902304293,22.24616633927815,0,0,0,0,1
22.63533210754395,22.42523757187775,0.024073446,22.37831826347891,22.26520936142811,0,0,0,0,1
23.25600051879883,22.53375320906243,0.061152642,22.44324464279469,22.31290636065379,0,0,0,0,1
23.51333236694336,22.66155765146323,0.024584135,22.52185330635725,22.36980354959997,0,0,0,0,1
23.97866630554199,22.83322415898986,0.044092451,22.62818043256281,22.44493791674789,0,0,0,0,1
23.89266777038574,22.97118537402946,-0.013671017,22.71991827508608,22.51159860968177,0,0,0,0,1
25.43333244,23.29156024230294,0.1440205047428628,22.91568210390723,22.64432775554891,0,0,0,0,1
25.26600074768066,23.54830248239209,-0.026623218,23.08437602,22.76190191365688,0,0,0,0,1
26.20999908447266,23.89420880477986,0.083382104,23.30764388430219,22.91464790538809,0,0,0,0,1
26.93600082397461,24.28931064687244,0.061776643,23.56567082203961,23.09070551,0,0,0,0,1
27.03933334350586,24.64635652876159,0.008420903,23.81167664103151,23.26164540666798,0,0,0,0,1
27.94799995422363,25.07485672561814,0.074981749,24.10348786207611,23.46235003,0,0,0,0,1
28.35000038146973,25.49977555425698,0.032004398,24.40200364297887,23.66952941891613,0,0,0,0,1
28.72933387756348,25.91865819015957,0.029760669,24.70519112364311,23.88189940008665,0,0,0,0,1
28.69199944,26.27827711006337,-0.005723405,24.98365823576609,24.08188815010773,0,0,0,0,1
27.64666748046875,26.45567705868091,-0.135567645,25.16912761040728,24.22876258003508,0,0,0,0,1
27.88866615,26.64141602962165,0.019414926,25.35802789105313,24.37825074698533,0,0,0,0,1
28.68400001525879,26.90612431931958,0.06362966,25.58847669806271,24.55265743855715,0,0,0,0,1
29.53400039672852,27.24663392618071,0.066122876,25.86121984017397,24.75282064109923,0,0,0,0,1
30.10266685,27.61666035687849,0.042917307,26.15378733083495,24.96614558976089,0,0,0,0,1
31.27066612243652,28.09001967627194,0.086619975,26.50603211156099,25.21568983563861,0,0,0,0,1
32.80933380126953,28.70132609058543,0.1098829620600011,26.93913886921753,25.51413687703131,0,0,0,0,1
32.08933258056641,29.14014775200894,-0.086771832,27.29239820103357,25.77080259174122,0,0,0,0,1
31.87666702270508,29.49456168380749,-0.027805708,27.60632994708904,26.00759269520933,0,0,0,0,1
34.99066543579102,30.20633177318317,0.2182886806359861,28.11124683277069,26.35377783,0,0,0,0,1
