tsla,tsla_exponential_moving_average_5,tsla_sortino_ratio_5,tsla_exponential_moving_average_10,tsla_exponential_moving_average_21
16.97866630554199,16.97866630554199,0.007616978428862022,16.97866630554199,16.97866630554199
19.97866630554199,18.58247218968428,0.3949100187939277,18.53063154003855,18.50341931474151
21.87533378601074,19.83526876303585,0.2121079360784074,19.72364119377491,19.66468703899981
21.84733390808105,20.44718041894883,-0.003018410119609948,20.31097224058518,20.23765449662182
21.08133316040039,20.61136184927908,-0.09095472719436261,20.48710730593757,20.41770881806938
21.00066757202148,20.70060073838184,-0.01285024299088411,20.58818590840674,20.5230586159715
20.99466705322266,20.76189280883816,-0.001346837677344646,20.65899459273572,20.59728220410092
20.88733291625977,20.78612440617965,-0.02318798389318644,20.69491872029652,20.63786241826859
21.1646671295166,20.85486794636622,0.02955330436400427,20.76269882445465,20.70441581126782
21.14800071716309,20.90546244244502,-0.004235643712226257,20.81430385467443,20.75564685927632
21.77199935913086,21.04883937569401,0.06583894511863712,20.93452126054243,20.86403015674165
22.36933326721191,21.2597335380868,0.06120975024643509,21.10466622617123,21.01347069847217
22.47599983215332,21.44827651910787,0.01052757956444421,21.25930195671859,21.14957216585881
23.00600051879883,21.68373133309601,0.05259004246768343,21.44763985055571,21.31245999535112
23.32866668701172,21.9270867102145,0.03122503797121265,21.64250008842137,21.48010094261958
23.07399940490723,22.09368269055728,-0.06158912814287347,21.78555326470558,21.60623601669
23.29000091552734,22.26475111357131,0.02079667686095367,21.93109839035328,21.73354168089871
23.47800064086914,22.43592190750424,0.01791431076317605,22.07642347903139,21.85998172314123
23.33266639709473,22.56098361247215,-0.03935140948250563,22.19134195142341,21.96261660535695
23.9680004119873,22.75526364674428,0.06074803983617021,22.34997862097646,22.09736081340876
23.48133277893066,22.85466104048323,-0.1221067038649353,22.44879077417083,22.18723102999534
23.65533256530762,22.96346095041661,0.01643416807318831,22.55206580190012,22.27956635772055
22.20266723632812,22.86074101494732,-0.1643249213803174,22.52270566476638,22.27487264713938
22.42266654968262,22.80192107310847,0.02202069183565585,22.51444036256585,22.2836430189438
21.92799949645996,22.68514310580988,-0.06488994332098172,22.46673497057888,22.26309076928994
22.08600044250488,22.60541545840355,0.01597650225178547,22.43620230678919,22.25310964221675
21.99600028991699,22.52461336641421,-0.01270300327527435,22.40136154316289,22.23895666503538
22.32466697692871,22.49818554837804,0.0332525678570746,22.39536442794922,22.24357054649563
22.41333389282227,22.48700080090955,0.008723818300081329,22.39675394522292,22.25251795383651
22.20199966430664,22.44952195738628,-0.03146498669316924,22.38184867484764,22.24990819204327
22.02466773986816,22.39376641165759,-0.02862790048850199,22.35477132903067,22.2384914333968
22.39266777038574,22.39362248889731,0.03720212602964453,22.35761902304293,22.24616633927815
22.63533210754395,22.42523757187775,0.02407344580073547,22.37831826347891,22.26520936142811
23.25600051879883,22.53375320906243,0.06115264184745538,22.44324464279469,22.31290636065379
23.51333236694336,22.66155765146323,0.02458413484099242,22.52185330635725,22.36980354959997
23.97866630554199,22.83322415898986,0.04409245060286054,22.62818043256281,22.44493791674789
23.89266777038574,22.97118537402946,-0.01367101697909208,22.71991827508608,22.51159860968177
25.4333324432373,23.29156024230294,0.1440205047428628,22.91568210390723,22.64432775554891
25.26600074768066,23.54830248239209,-0.02662321849685495,23.0843760160622,22.76190191365688
26.20999908447266,23.89420880477986,0.08338210420291442,23.30764388430219,22.91464790538809
26.93600082397461,24.28931064687244,0.06177664324054236,23.56567082203961,23.0907055092697
27.03933334350586,24.64635652876159,0.008420902669494123,23.81167664103151,23.26164540666798
27.94799995422363,25.07485672561814,0.07498174944620321,24.10348786207611,23.4623500291112
28.35000038146973,25.49977555425698,0.03200439768593803,24.40200364297887,23.66952941891613
28.72933387756348,25.91865819015957,0.02976066888086237,24.70519112364311,23.88189940008665
28.6919994354248,26.27827711006337,-0.005723404927863095,24.98365823576609,24.08188815010773
27.64666748046875,26.45567705868091,-0.1355676452497797,25.16912761040728,24.22876258003508
27.8886661529541,26.64141602962165,0.0194149256656622,25.35802789105313,24.37825074698533
28.68400001525879,26.90612431931958,0.06362966020125918,25.58847669806271,24.55265743855715
29.53400039672852,27.24663392618071,0.0661228759575024,25.86121984017397,24.75282064109923
30.1026668548584,27.61666035687849,0.04291730696694897,26.15378733083495,24.96614558976089
31.27066612243652,28.09001967627194,0.08661997540797728,26.50603211156099,25.21568983563861
32.80933380126953,28.70132609058543,0.1098829620600011,26.93913886921753,25.51413687703131
32.08933258056641,29.14014775200894,-0.08677183236801218,27.29239820103357,25.77080259174122
31.87666702270508,29.49456168380749,-0.02780570844817933,27.60632994708904,26.00759269520933
34.99066543579102,30.20633177318317,0.2182886806359861,28.11124683277069,26.3537778333198
35.86133193969727,30.93863934824487,0.05550137125352145,28.64042648159651,26.71796481931878
34.56666564941406,31.40843665235894,-0.1404547818651705,29.0445422258949,27.0168647916943
34.232666015625,31.77413411019012,-0.04000852989551131,29.39789272576635,27.29012797870194
34.03333282470703,32.06665752803652,-0.02520299116790356,29.71324160839379,27.54412184226266
36.47999954223633,32.6380836148045,0.1606054489676962,30.17309518417848,27.87896566491781
37.97066879272461,33.32851150798871,0.0912306709631212,30.70247618907705,28.25523767524241
38.14666748046875,33.95231956305221,0.01022951989163357,31.20739961755109,28.62227439939266
37.65466690063477,34.43165355353944,-0.05961716185292183,31.64432771997446,28.95588781755942
37.20133209228516,34.79023065184933,-0.05968703546555463,32.02062117337713,29.25908076570881
37.79333114624023,35.17902163540108,0.03544659441099443,32.41122893182353,29.57154892271235
