googl,googl_exponential_moving_average_5,googl_exponential_moving_average_10,googl_exponential_moving_average_21,googl_sortino_ratio_5,googl_ami_126d,googl_age,googl_zero_trades_12m,state_0,state_1,state_2,state_3
30.52077102661133,30.52077102661133,30.52077102661133,30.52077102661133,0.003684590273329618,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
30.40015029907227,30.45628694908578,30.45837130137789,30.45946542084899,-0.02313388385747024,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
30.31957054138184,30.40427205502418,30.40886296417968,30.4112864383456,-0.1808428619652923,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
30.0297794342041,30.29038091173912,30.30402316085538,30.31113688995807,-0.1569907639454941,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
30.21271324157715,30.27027283943399,30.28314609117842,30.29013173244437,0.03565857132394336,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
29.75625610351562,30.15244697710024,30.17944394145009,30.19365202572203,-0.1607627058118292,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
29.3493480682373,29.98505754002015,30.03484191648844,30.06077215283076,-0.1549373843515779,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
29.83233261108398,29.95555526153795,30.00298142978904,30.02881179162547,0.09632896215985705,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
30.31181144714355,30.0202515557792,30.04754258280752,30.06456429514375,0.09408152272091884,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
30.01126098632812,30.01869979024441,30.04268324285053,30.05840812450618,-0.1304972544177984,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
29.95895957946777,30.00881519323778,30.03217359591703,30.04780298382818,-0.01980478053867393,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
29.60560607910156,29.94441925097625,29.98158974580317,30.00390342331158,-0.1437487038415825,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
28.97722625732422,29.79448707647181,29.86833467708864,29.90836189486932,-0.192587605321873,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
28.99699783325195,29.67394410386746,29.77438272135139,29.82839645282086,0.003993986412257261,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
28.32757759094238,29.47475966193019,29.62450458756149,29.7036083064843,-0.1828008521473272,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
27.88488578796387,29.24382090095871,29.45066028883203,29.55968151000702,-0.1348489905160096,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
28.03178215026855,29.07050450956323,29.31339343422052,29.4441604874641,0.0308364432107021,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
27.89064025878906,28.90404386318003,29.17973163928959,29.33155986581255,-0.0425084011952889,3.82e-06,183,0.00198568,0.0,0.0,1.0,0.0
28.4006519317627,28.83383985976442,29.10846305852924,29.26668268751722,0.10703941825769,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
28.40590667724609,28.7747511030456,29.04573225968756,29.2088460871465,0.001083042462579888,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
28.57500076293945,28.74740568602556,29.00461870347436,29.1676864264106,0.03484511240756947,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.26250076293945,28.54562815693604,28.85550055444868,29.04786096585309,-0.1944903367465572,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.0314998626709,28.34119539441581,28.70222885925734,28.92478783739447,-0.03784103234669019,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.8754997253418,28.27866677350433,28.63392391549532,28.86252108136258,0.182765551142469,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
28.35199928283691,28.28846584656259,28.61099010257561,28.83301858576318,0.1000603339259483,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.33449935913086,28.1615219508836,28.50862307298831,28.74855936602958,-0.1505335305906959,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
26.88800048828125,27.99266629435779,28.38035530901393,28.64614205951842,-0.07401599519926745,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.26000022888184,27.8958265089058,28.29274938299231,28.57152450239626,0.08098530789763643,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.43499946594238,27.83508244836344,28.22642251490417,28.5116237483507,0.03757789150061534,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
28.19499969482422,27.8824130742066,28.22401760946619,28.49526703149817,0.1621551980453118,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.16699981689453,27.78852614796637,28.14388669120819,28.42794117568181,-0.1585956486155171,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
26.9685001373291,27.68110217803446,28.05556332542803,28.35529012671083,-0.03205076839892038,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
27.27499961853027,27.62798486235137,27.99738430273738,28.30242834452649,0.06652655859069602,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
26.8754997253418,27.52969400282613,27.9143931027,28.23373555014894,-0.06875760576061121,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
26.72200012207031,27.42431521313868,27.82679989278514,28.16208307358033,-0.02703025586104894,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
26.15500068664551,27.25887799500097,27.70478175780072,28.06835173173707,-0.1072897900376475,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
26.14900016784668,27.11434921410816,27.59191068172848,27.97997522633368,-0.001100484122795127,4.58e-06,184,0.00195901,0.0,0.0,1.0,0.0
